"","ID","Name","Headquarters","Of investments","Investments","Type","Focus","Website"
"36",1,"Blue Bio Value","Portugal","19","B'zeos
Ficosterra
Futuralga
Ínclita Seaweed Solutions","Incubator / accelerator","Ocean","https://www.bluebiovalue.com/"
"35",2,"Angel investors (various)","","11","Tango Seaweed AS
Volta Greentech
Running Tide","Angel investor","",""
"34",3,"EIT Climate-KIC","EU","9","Vetik
Kelpy
Dulabio
B'zeos
Umameats
Nordic Algae (failed)","Incubator / accelerator","Climate","https://www.climate-kic.org/"
"33",4,"Crowdfunding","","7","Mara Seaweed
Notpla
Carbonwave (formerly C-Combinator)","Crowdfunding","",""
"32",5,"EASME - EU Executive Agency for SMEs","EU","5","Alginor
Brandon Bioscience
Seaweed Solutions","Govt fund","Local","https://ec.europa.eu/easme/en"
"31",6,"Katapult Ocean","Norway","5","Ocean Rainforest
Oceanium
Oregon Dulse
12 Tides","Incubator / accelerator
Impact investor","Ocean","https://katapultocean.com/"
"30",7,"Sea Ahead","USA","5","Ocean Rainforest
Akua
Carbonwave (formerly C-Combinator)","Incubator / accelerator
Early-stage VC","Ocean","https://sea-ahead.com/"
"29",8,"ARPA-E","USA","4","Umaro
Primary Ocean Producers
Fearless Fund","Govt fund","Energy","https://arpa-e.energy.gov/"
"28",9,"Sustainable Ocean Alliance","USA","4","B'zeos
Seaforestation
Sway
Oceanium","Incubator / accelerator","Ocean","https://www.soalliance.org/"
"27",10,"Builders Vision","USA","3","Oceanium
Urchinomics
Atlantic Sea Farms (Ocean Approved)","Family office","Food / agriculture","https://www.buildersvision.com/"
"26",11,"EIT Food Accelerator Network","EU","3","Sea & Believe (formerly Plantruption)
B'zeos
Biotic","Incubator / accelerator","Food / agriculture","https://www.eitfood.eu/projects/eit-food-accelerator-network"
"25",12,"For Good Ventures","USA","3","Loliware
Carbonwave (formerly C-Combinator)
Primary Ocean Producers","Family office
Impact investor","","https://forgoodventures.com/"
"24",13,"Innovation Norway","Norway","3","Thalasso Ocean
Norwegian Seaweed Production","Govt fund","Local","https://www.innovasjonnorge.no/en/start-page/"
"23",14,"MassChallenge","USA","3","Akua
Biotic
FlexSea","Incubator / accelerator","","https://masschallenge.org/"
"22",15,"Morten Kroslid","Norway","3","Arctic Seaweed
Metal Production
Redrose Developments Ltd","Angel investor","",""
"21",16,"Ocean Startup Challenge","Canada","3","Turquoise Revolution
SeaChange Biochemistry","Incubator / accelerator","Ocean","https://oceanstartupproject.ca/challenge/"
"20",17,"Activate","USA","2","Umaro
Trophic / TROFX","Incubator / accelerator","Climate","https://www.activate.org/"
"19",18,"Aksello","Norway","2","Thalasso Ocean
Norwegian Seaweed Production","Incubator / accelerator","Local","https://aksello.no/"
"18",19,"Alaska Ocean Cluster","USA","2","Foraged & Found
Noble Ocean Farms","Incubator / accelerator","Ocean","https://www.alaskaoceancluster.com/"
"17",20,"ASICS","Japan","2","Smartfiber
Pyratex (Pyrates)","Corporate","Fashion","https://www.asics.com/"
"16",21,"Astanor Ventures","Belgium","2","Notpla
BettaF!sh","Impact investor","Food / agriculture","https://astanor.com/"
"15",22,"Blue Horizon","Switzerland","2","New Wave Foods
Dutch weed burger","Venture capital","Food / agriculture","https://www.bluehorizon.com/"
"14",23,"Conservation International Ventures","USA","2","Sway
Coast 4C","Impact investor","Conservation","https://www.conservation.org/projects/conservation-international-ventures-llc"
"13",24,"Gratitude Railroad","USA","2","Ocean's Halo (New Frontier Foods)
Loliware","Incubator / accelerator
Impact investor","","https://gratituderailroad.com/"
"12",25,"Maritime Blue","USA","2","Algeon Materials
Blue Dot Sea Farms","Incubator / accelerator","Ocean","https://maritimeblue.org/"
"11",26,"Rockstart Agrifood","Netherlands","2","Biotic
Alganex","Early-stage VC","Food / agriculture","https://www.rockstart.com/"
"10",27,"SAPEC","Portugal","2","ALGAplus Lda
Algaia","Holding","","https://www.sapec.pt/"
"9",28,"Seaworthy Collective","USA","2","Thalasso Ocean
Kee Farms","Incubator / accelerator","Ocean","https://www.seaworthycollective.com/"
"8",29,"Sky Ocean Ventures","UK","2","Notpla
Oceanium","Nonprofit","Plastics","https://www.skyoceanrescue.com/skyoceanventures"
"7",30,"SOSV / IndieBio","USA","2","Algiknit
Sea & Believe (formerly Plantruption)","Venture capital
Incubator / accelerator","","https://sosv.com/"
"6",31,"startBlue","USA","2","Algeon Materials
Daybreak Seaweed (formerly Salt Point)","Incubator / accelerator","Ocean","https://startblue.ucsd.edu/"
"5",32,"Valor Siren Ventures","USA","2","Blue Ocean Barns
Sway","Venture capital","Food / agriculture","https://www.valorep.com/valor-siren-ventures-vsv"
"4",33,"We come from the sea","USA","2","Carbonwave (formerly C-Combinator)
Tango Seaweed AS","Nonprofit","Ocean","https://wecomefromthesea.org/"
"3",34,"WWF","USA","2","Ocean Rainforest
Oceanium","Nonprofit","Conservation","https://www.worldwildlife.org/"
"2",35,"Y Combinator","USA","2","Phykos
Alga Biosciences","Incubator / accelerator","","https://www.ycombinator.com/"
"1",36,"Accelerace","Denmark","1","Nordisk Tang - Nordic Seaweed Aps","Incubator / accelerator","","https://www.accelerace.io/"
"110",37,"Agfunder","USA","1","Umaro","Venture capital","Food / agriculture","https://agfunder.com/"
"210",38,"Agribusiness Advisors","Canada","1","Bioform","Early-stage VC","Food / agriculture","http://agribusinessadvisors.com/"
"37",39,"Alante Capital","USA","1","Sway","Venture capital","Fashion
Plastics","https://www.alantecapital.com/"
"41",40,"Alberts Impact Capital","Australia","1","Uluu","Impact investor
Family office","","https://www.alberts.co/"
"51",41,"Alexandria Venture Investments","USA","1","Umaro","Venture capital","Food / agriculture","https://www.are.com/venture-investments.html"
"61",42,"Almi Invest","Sweden","1","Nordic Seafarm (prev. Kosteralg)","Venture capital","","https://www.almi.se/"
"71",43,"Alumni Ventures Group","USA","1","Akua","Venture capital","","https://www.avgfunds.com/"
"81",44,"AquaSpark","Netherlands","1","Sea6","Venture capital","Aquaculture","https://www.aqua-spark.nl/"
"91",45,"Australis Aquaculture","USA","1","Greener Grazing","Corporate","Aquaculture","https://www.thebetterfish.com/"
"101",46,"BAM Ventures","USA","1","Sway","Venture capital","","https://www.bam.vc/"
"111",47,"Baruch Future Ventures","USA","1","Carbonwave (formerly C-Combinator)","Venture capital","","https://www.baruch.vc/"
"121",48,"BASF Venture Capital","Germany","1","Sea6","Venture capital","",""
"131",49,"Big Idea Ventures","USA","1","New Wave Foods","Venture capital","Food / agriculture",""
"141",50,"Biolchim","Italy","1","West Coast Marine Bio Processing Corp.","Corporate","Food / agriculture","https://www.biolchim.com/en/"
